date,OT
0.0,-0.0
0.001258056,0.0
0.002708611,-0.0
0.005375278,-0.0
0.008041944,-0.0
0.01071,0.0
0.013376111,-0.0
0.016043333,-0.0
0.018710833,0.0
0.021376389,0.0
0.024043611,-0.0
0.026729167,0.0
0.0293775,-0.0
0.032044722,-0.0
0.034712222,-0.0
0.037378611,0.0
0.040045556,0.0
0.042712222,-0.0
0.045379444,0.0
0.048046111,0.0
0.050713333,0.0
0.053380556,-0.0
0.0560475,0.0
0.058723889,0.0
0.061381944,-0.0
0.064048056,-0.0
0.066714722,-0.0
0.069381389,0.0
0.072052222,-0.0
0.074715556,0.0
0.077382222,0.0
0.080049444,-0.0
0.082716944,-0.0
0.085383056,0.0
0.088051389,0.0
0.0907175,-0.0
0.093387222,-0.0
0.096050833,-0.0
0.098721389,0.0
0.101385556,-0.0
0.104055278,-0.0
0.106718889,0.0
0.109385556,0.0
0.112053333,0.0
0.114729167,-0.0
0.117386667,0.0
0.120053889,-0.0
0.122720278,-0.0
0.125390556,-0.0
0.128054167,0.0
0.130723056,0.0
0.133390833,-0.0
0.136058333,0.0
0.138730556,-0.0
0.1413925,-0.0
0.1440575,-0.0
0.146723333,0.0
0.149390278,0.0
0.152057222,0.0
0.154726389,-0.0
0.1573925,0.0
0.160059722,-0.0
0.162725278,-0.0
0.165395,-0.0
0.168061667,-0.0
0.170726944,0.0
0.173394167,0.0
0.176059722,-0.0
0.178729722,0.0
0.181394444,-0.0
0.184060556,-0.0
0.186730556,-0.0
0.189393611,0.0
0.192064444,-0.0
0.19475,0.0
0.197395278,0.0
0.200063611,0.0
0.202733611,-0.0
0.205396389,0.0
0.2080625,-0.0
0.210729444,-0.0
0.213396389,0.0
0.216063889,0.0
0.218730556,-0.0
0.221398333,-0.0
0.224065,0.0
0.226731389,-0.0
0.229406111,0.0
0.232065,0.0
0.2347325,0.0
0.237403333,-0.0
0.240066389,0.0
0.242732778,-0.0
0.245400556,-0.0
0.248068056,-0.0
0.250741111,0.0
0.253401111,0.0
0.256068611,0.0
0.258735,0.0
0.261401389,-0.0
0.264069722,-0.0
0.266736944,-0.0
0.269403611,0.0
0.272070278,0.0
0.274737778,-0.0
0.277404167,0.0
0.280071389,-0.0
0.2827375,-0.0
0.285405278,-0.0
0.288071389,0.0
0.2907375,0.0
0.293406389,-0.0
0.296072222,0.0
0.298739167,-0.0
0.301407222,0.0
0.304073889,0.0
0.306741111,0.0
0.3094075,0.0
0.312074444,0.0
0.314741667,-0.0
0.317407778,0.0
0.320075,-0.0
0.322741667,-0.0
0.325409167,-0.0
0.328075,0.0
0.3307525,0.0
0.333412222,-0.0
0.336076111,-0.0
0.338743611,0.0
0.341411389,0.0
0.344079167,-0.0
0.346745,-0.0
0.349411944,0.0
0.352079167,0.0
0.354744444,0.0
0.3574125,-0.0
0.36008,-0.0
0.362746389,0.0
0.365417778,-0.0
0.368079167,-0.0
0.370746111,-0.0
0.373424444,0.0
0.376080833,0.0
0.378748889,0.0
0.381415833,-0.0
0.384084167,-0.0
0.386751389,-0.0
0.389415833,0.0
0.392082222,0.0
0.394749722,0.0
0.397415833,-0.0
0.400084167,0.0
0.402751111,-0.0
0.405416944,-0.0
0.408085278,-0.0
0.410751667,-0.0
0.413417778,0.0
0.4160875,-0.0
0.418754444,0.0
0.421419444,-0.0
0.424085278,-0.0
0.426752778,0.0
0.429419722,0.0
0.432089444,0.0
0.434755833,-0.0
0.437421389,0.0
0.440088056,-0.0
0.4427575,-0.0
0.4454225,0.0
0.448091667,-0.0
0.450758056,0.0
0.4534225,-0.0
0.456090556,0.0
0.458756944,0.0
0.461422778,-0.0
0.46409,-0.0
0.466755833,0.0
0.469425,0.0
0.47209,0.0
0.474758333,-0.0
0.477423889,-0.0
0.480094167,0.0
0.482758889,-0.0
0.485426944,-0.0
0.488092778,-0.0
0.490761944,0.0
0.493427222,-0.0
0.496095833,0.0
0.498762778,-0.0
0.501428333,0.0
0.504094444,-0.0
0.506764722,-0.0
0.5094275,0.0
0.512094167,-0.0
0.514764444,-0.0
0.517428333,0.0
0.520096944,-0.0
0.522763611,0.0
0.52543,-0.0
0.528096389,0.0
0.530763056,0.0
0.533430278,-0.0
0.536096944,0.0
0.538765278,-0.0
0.541430833,-0.0
0.544097778,-0.0
0.546765278,0.0
0.549433056,0.0
0.552098889,0.0
0.554765556,-0.0
0.557433056,0.0
0.560100556,-0.0
0.562766667,0.0
0.565433889,0.0
0.568099722,-0.0
0.570768056,0.0
0.573434167,-0.0
0.576101667,0.0
0.578768889,-0.0
0.581434444,0.0
0.584102222,-0.0
0.586769167,-0.0
0.5894375,0.0
0.592122222,-0.0
0.59477,0.0
0.597436944,-0.0
0.600104167,-0.0
0.602773056,0.0
0.605438889,0.0
0.608104722,0.0
0.610771389,0.0
0.613438056,-0.0
0.616108056,-0.0
0.618771667,0.0
0.621440556,0.0
0.624108056,-0.0
0.626781667,-0.0
0.629441389,0.0
0.632114167,-0.0
0.634774167,0.0
0.637440278,-0.0
0.640108333,0.0
